step,reward,eval_type,seed
250112,0.0,pi,4
250112,0.0,mppi,4
500224,0.0,pi,4
500224,0.0,mppi,4
750080,0.0,pi,4
750080,0.0,mppi,4
1000192,2.0,pi,4
1000192,0.0,mppi,4
1250048,0.0,pi,4
1250048,0.7,mppi,4
1500160,4.5,pi,4
1500160,4.6,mppi,4
1750016,9.3,pi,4
1750016,4.2,mppi,4
2000128,126.3,pi,4
2000128,142.1,mppi,4
2000128,-1.0,restart_1,4
2250240,215.6,pi,4
2250240,223.6,mppi,4
2500096,209.8,pi,4
2500096,224.7,mppi,4
2750208,227.3,pi,4
2750208,148.3,mppi,4
3000064,225.2,pi,4
3000064,233.7,mppi,4
3250176,208.0,pi,4
3250176,223.1,mppi,4
3500032,225.4,pi,4
3500032,228.6,mppi,4
3750144,222.2,pi,4
3750144,236.2,mppi,4
4000000,239.6,pi,4
4000000,244.5,mppi,4
4250112,233.9,pi,4
4250112,248.0,mppi,4
4250112,-1.0,restart_2,4
4500224,167.7,pi,4
4500224,218.2,mppi,4
4750080,242.6,pi,4
4750080,242.2,mppi,4
5000192,234.7,pi,4
5000192,252.5,mppi,4
5250048,235.5,pi,4
5250048,247.1,mppi,4
5500160,225.5,pi,4
5500160,226.5,mppi,4
5750016,242.5,pi,4
5750016,256.6,mppi,4
6000128,256.1,pi,4
6000128,283.1,mppi,4
6250240,253.7,pi,4
6250240,275.9,mppi,4
6250240,-1.0,restart_3,4
6500096,244.9,pi,4
6500096,266.2,mppi,4
6750208,241.9,pi,4
6750208,271.8,mppi,4
7000064,277.5,pi,4
7000064,268.9,mppi,4
7250176,266.9,pi,4
7250176,268.9,mppi,4
7500032,254.6,pi,4
7500032,274.9,mppi,4
7750144,282.2,pi,4
7750144,288.3,mppi,4
8000000,272.5,pi,4
8000000,282.4,mppi,4
8250112,274.9,pi,4
8250112,294.4,mppi,4
8500224,280.2,pi,4
8500224,295.7,mppi,4
8500224,-1.0,restart_4,4
8750080,291.1,pi,4
8750080,303.2,mppi,4
9000192,279.8,pi,4
9000192,286.9,mppi,4
9250048,280.1,pi,4
9250048,291.0,mppi,4
9500160,283.7,pi,4
9500160,298.4,mppi,4
9750016,282.6,pi,4
9750016,257.9,mppi,4
10000128,294.0,pi,4
10000128,310.8,mppi,4
